,Neighborhood,Coffee Shop,Grocery Store,Gym / Fitness Center,Park,Residential Building (Apartment / Condo)
0,Athmar Park,0.06896551724137931,0.3448275862068966,0.1724137931034483,0.2413793103448276,0.1724137931034483
1,Auraria,0.28773584905660377,0.07075471698113207,0.25471698113207547,0.1179245283018868,0.2688679245283019
2,Baker,0.25842696629213485,0.056179775280898875,0.30337078651685395,0.0898876404494382,0.29213483146067415
3,Barnum,0.07692307692307693,0.07692307692307693,0.0,0.46153846153846156,0.38461538461538464
4,Barnum West,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855
5,Bear Valley,0.13636363636363635,0.09090909090909091,0.22727272727272727,0.22727272727272727,0.3181818181818182
6,Belcaro,0.19801980198019803,0.0594059405940594,0.24752475247524752,0.1188118811881188,0.37623762376237624
7,Berkeley,0.22727272727272727,0.12121212121212122,0.22727272727272727,0.21212121212121213,0.21212121212121213
8,CBD,0.35294117647058826,0.0784313725490196,0.17647058823529413,0.11764705882352941,0.27450980392156865
9,Capitol Hill,0.5151515151515151,0.06060606060606061,0.12121212121212122,0.12121212121212122,0.18181818181818182
10,Central Park,0.1891891891891892,0.05405405405405406,0.3783783783783784,0.2972972972972973,0.08108108108108109
11,Chaffee Park,0.35294117647058826,0.17647058823529413,0.058823529411764705,0.29411764705882354,0.11764705882352941
12,Cheesman Park,0.3125,0.09375,0.21875,0.21875,0.15625
13,Cherry Creek,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.5
14,City Park,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.5294117647058824
15,City Park West,0.2857142857142857,0.0,0.0,0.7142857142857143,0.0
16,Civic Center,1.0,0.0,0.0,0.0,0.0
17,Clayton,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.23809523809523808,0.19047619047619047
18,Cole,0.21428571428571427,0.03571428571428571,0.32142857142857145,0.10714285714285714,0.32142857142857145
19,College View South Platte,0.13636363636363635,0.2727272727272727,0.18181818181818182,0.4090909090909091,0.0
20,Congress Park,0.4,0.0,0.0,0.0,0.6
21,Cory Merrill,0.3448275862068966,0.06896551724137931,0.1724137931034483,0.13793103448275862,0.27586206896551724
22,Country Club,0.5,0.0,0.0,0.0,0.5
23,East Colfax,0.14285714285714285,0.11904761904761904,0.16666666666666666,0.4523809523809524,0.11904761904761904
24,Elyria Swansea,0.0,0.0,0.0,1.0,0.0
25,Five Points,0.4166666666666667,0.0,0.3333333333333333,0.16666666666666666,0.08333333333333333
26,Fort Logan,0.0,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.46153846153846156
27,Gateway Green Valley Ranch,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.2727272727272727
